dni|nombre|tienda|vertical|puesto|departamento|fecha_ingreso|fecha_cese|tipo_salida|longitud_doc|departamento_original|gerencia_homologada
99510741|Diego Elena Ramírez Flores|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-05-22|2026-03-24|Voluntario|8|Ventas Hogar|Gerencia Comercial
87326012|Daniela Eduardo Carranza Medina|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-01-28|2026-03-18|Voluntario|8|Utiles Escolares|Gerencia Comercial
00276955|María Antonio Vargas Mejía|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-12-14|2026-03-09|Voluntario|8|Utiles Escolares|Gerencia Comercial
00906024|Álvaro Castillo Aguilar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-07-03|2026-03-04|Fin de contrato|8|Utiles Escolares|Gerencia Comercial
10809497|Kevin Gabriela Vega Carranza|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2024-08-21|2026-03-25|Voluntario|8|Cajas|Gerencia Operaciones
91844214|Génesis Morales Herrera|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-08-02|2026-03-22|Voluntario|8|Ventas Hogar|Gerencia Comercial
91987369|Jorge Eduardo Espinoza Flores|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2025-10-17|2026-03-23|No voluntario|8|Ventas Tecnología|Gerencia Comercial
67105685|Sofía Jesús Vega Mendoza|Plaza Lima Norte|Hogar|Cajero(A)|Cajas|2026-01-05|2026-03-11|Voluntario|8|Cajas|Gerencia Operaciones
53706628|Andrés Nicole Gómez Rodríguez|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2025-08-21|2026-03-14|Fin de contrato|8|Utiles Escolares|Gerencia Comercial
51320073|Sofía Nicole Vega Herrera|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2025-03-08|2026-03-20|Voluntario|8|Ventas Tecnología|Gerencia Comercial
21327574|Raúl Nicole Cruz Morales|Plaza Lima Norte|Tecnologia|Cajero(A)|Cajas|2024-12-14|2026-03-04|Voluntario|8|Cajas|Gerencia Operaciones
50285867|Diana Nicole Cárdenas García|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-06-03|2026-03-20|Voluntario|8|Ventas Moda|Gerencia Comercial
00238745|Tatiana Antonio Rodríguez Chávez|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-11-10|||8|Ventas Hogar|Gerencia Comercial
63891320|Sebastián Isabel Navarro Mejía|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-11-06|||8|Ventas Moda|Gerencia Comercial
90252297|Paola Nicole Carranza Paredes|Plaza Lima Norte|Hogar|Vendedor De Piso|Ventas Hogar|2025-02-12|||8|Ventas Hogar|Gerencia Comercial
30985476|Luis Antonio López Valdivia|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-07-21|||8|Utiles Escolares|Gerencia Comercial
02044441|Andrea Eduardo Herrera Mendoza|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-06-10|||8|Utiles Escolares|Gerencia Comercial
63581353|Cristian Antonio Paredes Ponce|Plaza Lima Norte|Tecnologia|Vendedor De Piso|Ventas Tecnología|2026-03-14|||8|Ventas Tecnología|Gerencia Comercial
87805310|Kevin Alejandro Quispe Chávez|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-11-20|||8|Ventas Moda|Gerencia Comercial
00311891|Adrián Isabel Carranza Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-07-03|||8|Utiles Escolares|Gerencia Comercial
72656484|Diego Eduardo Morales Ramírez|Plaza Lima Norte|Moda|Auxiliar De Logistica|Logística|2025-10-29|||8|Logística|Gerencia Operaciones
00389289|Raúl Patricia Soto Ramírez|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-01-23|||8|Ventas Moda|Gerencia Comercial
